背_Bc02C05=_Bk06A01=_Ef04B03=_Fa03D01=_Hg10E01=_Hi20A01=_Hi39C01=_Hj24A01=_Ib19B01=_If03D01=_Kb01B01=	称职_Ed49A06@	守护神_Am03D02#
党徽_Bp21B05#	金灿灿_Eb18A01=	太阳_Bd02A01=_Bg03B02=
叶子_Bh11B01=_Bo32A02=	轻_Eb13B01=_Eb16B01=_Ed17C01=_Gb21D01=_Jc07A01=	羽毛_Bk11A06=
心中_Df02A01=	澎湃_Ed21B01=	大海_Be05A01=
潮水_Bf07A01=	狂暴_Ed15A01=	老爷爷_Ab02A04=_Ah02A01=
妈妈_Ah04B01=_An07C01=	坐卧不宁_Ga07B01=	苍蝇_Bi22B01=
船_Bo22A01=	飘浮_Id11E01=	木头_Al04B01=_Bm03A01=
人_Aa01A01=_Ab02B01=_Dd17A02=_De01B02=_Dn03A04=	吸吮_Fc06D01=	虫_Bi18A01=
烟花_Bp36B02=	烂漫_Eb30A07=	笑_Hi40B01=_Ic01A01=
友谊_Db10B01=	刺鼻_Ed41B06@	二锅头_Br12C08#
人们_Aa01C01=	冲锋陷阵_Hb03A04=	士兵_Ae10D01=
云雾_Bf05B02=	热情_Ee33D01=	向导_Hf04D01=
人_Aa01A01=_Ab02B01=_Dd17A02=_De01B02=_Dn03A04=	孤傲_Ee32A01=	狼_Bi03B01=
动作_Di20A01=_Id14B01=	指引_Hf04D01=_Hg02D01=	灯塔_Bn21A03#
时间_Ca03B01=	流过_Hf06A05#	长河_Be05B01=_Da05A01=
光芒_Bg03B01=	彩色_Bg06A09#_Ec06B01=	彩虹_Bf04A01=
爷爷_Ab02A04=_Ah02B01=	温暖_Eb26D01=	樱花_Bh02A44#
未来_Ca12A01=_Da07B01=	绚丽_Eb30A07=	玫瑰_Bh02A44#
人_Aa01A01=_Ab02B01=_Dd17A02=_De01B02=_Dn03A04=	飞走_Bi11A01=	鸽子_Bi12C01=
秋天_Ca19D01=	千变万化_Ih01A02=	魔术_Dk30B04=
时间_Ca03B01=	湍急_Eb23A09=	流水_Bg01A02=
居里夫人_Af11A11#	清澈_Eb19A01=	小溪_Be05C01=
明天_Ca12A01=_Ca23A04=	生机勃勃_Dd14B02=	清晨_Ca27B02=
人们_Aa01C01=	高洁_Ee43A02=	莲花_Bh02A04=
钢铁_Bm02A01=_Ee12B01=	腐蚀_Hi61D01=	记忆_Da16C01=_Gb07A01=
银河_Bd01B03=	气势磅礴_Ed20A01=	瀑布_Be07B01=
爱_Gb09A01=_Gb09B01=_Gb17C01=_Jc07A01=	滋润_Eb27E01=	水分_Dd10B02=
罪恶_Di26A01=_Ee01C04=	绽放_Ib21A01=	花_Ac03A01=_Bb02B01=_Bh02A01=_Bh11C01=_Dg01A01=_Dl02A01=_Ec06B01=_He13B01=
桑叶_Bh11B01=	圆圆的_Ea13B01=	铜钱_Dj05A08=
呐喊_Fc10A01=	唤醒_Hg02C01=	惊雷_Bf06A01=
篮球_Bp12B06#	划_Fa27C02=_Hc03C03=_Hg11A11=	流星_Bd01B14=_Dk30B05#
风景_Dc02A01=	优秀_Ed03A01=	作品_Dk19A01=
岁月_Ca03B01=	流淌_Id11F01=	小溪_Be05C01=
话语_Dk11A01=	奏_Hc15C05=_Hh04C01=	音符_Dk04C02#
胸襟_De03B01=	宽阔_Ea04A01=	水_Be05B01=_Bg01A01@_Bg01B01=_Dn09A02=
老茧_Dl04E01=	硬_Eb10A01=_Ed03A04=_Ed13C01=_Ee12B01=	石头_Bm04A01=
人_Aa01A01=_Ab02B01=_Dd17A02=_De01B02=_Dn03A04=	执行_Ie13A01=	机器人_Bo01A49#
晚风_Bf02A27=_Bf02A29#	抚摸_Fa01C01=	手_Aa01A07=_Bk08C01=_Fa06A01=_Ka24A02=
人们_Aa01C01=	飞进_Hj64B06#	小鸟_Bi11B01=
同学_Aj04A01=	涌出_Jd07A01=	黄蜂_Bi19A03=
妈妈_Ah04B01=_An07C01=	忠厚_Ee02A01=	老黄牛_Bi06C11#
人_Aa01A01=_Ab02B01=_Dd17A02=_De01B02=_Dn03A04=	分神_La04B01=	猫_Bi08A01@
女孩_Dd15D04#	快乐_Ga01A01=	百灵_Bi11B48#
泪水_Bl03A01=	奔涌_Id11F02=	江水_Bg01A15#
人_Aa01A01=_Ab02B01=_Dd17A02=_De01B02=_Dn03A04=	遥远_Eb21A01=	梦_Df10D01=
